DeviceName,Brand,cpu,status,body_c,_3_5mm_jack_,dimensions,_4g_bands,weight,resolution,announced,talk_time,price
HTC Desire 501 dual sim,HTC,Dual-core 1.2 GHz Cortex-A9,"Available. Released 2014, February",,Yes,128.5 x 66.7 x 9.8 mm (5.06 x 2.63 x 0.39 in),,130 g (4.59 oz),480 x 800 pixels (~217 ppi pixel density),"2013, December",,
HTC Desire 501,HTC,Dual-core 1.2 GHz,"Available. Released 2014, February",,Yes,128.5 x 66.7 x 9.8 mm (5.06 x 2.63 x 0.39 in),,130 g (4.59 oz),480 x 800 pixels (~217 ppi pixel density),"2013, November",,
HTC Desire 601 dual sim,HTC,Quad-core 1.2 GHz Cortex-A7,"Available. Released 2013, December",,Yes,134.5 x 66.7 x 9.9 mm (5.30 x 2.63 x 0.39 in),,130 g (4.59 oz),540 x 960 pixels (~245 ppi pixel density),"2013, November",Up to 12 h 50 min (3G),
HTC Desire 700 dual sim,HTC,Quad-core 1.2 GHz Cortex-A7,"Available. Released 2014, January",,Yes,145.5 x 72 x 10.3 mm (5.73 x 2.83 x 0.41 in),,149 g (5.26 oz),540 x 960 pixels (~220 ppi pixel density),"2013, November",Up to 11 h 40 min (3G),
HTC Desire XC,HTC,Dual-core 1.0 GHz,"Available. Released 2013, July",,Yes,119.5 x 62.3 x 9.4 mm (4.70 x 2.45 x 0.37 in),,107 g (3.77 oz),480 x 800 pixels (~233 ppi pixel density),"2013, July",,
HTC Nexus 9,HTC,Dual-core 2.3 GHz Denver,"Available. Released 2014, November",,Yes,228.2 x 153.7 x 8 mm (8.98 x 6.05 x 0.31 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800)",425 g (Wi-Fi) / 436 g (3G/LTE) (14.99 oz),1536 x 2048 pixels (~281 ppi pixel density),"2014, October",Up to 9 h 30 min (multimedia) (3G),
HTC One Max,HTC,Quad-core 1.7 GHz Krait 300,"Available. Released 2013, October",,Yes,164.5 x 82.5 x 10.3 mm (6.48 x 3.25 x 0.41 in),"LTE band 3(1800), 7(2600), 8(900), 20(800) - EMEA",217 g (7.65 oz),1080 x 1920 pixels (~373 ppi pixel density),"2013, October",Up to 25 h (3G),
Nokia 110 (2019),Nokia,,"Available. Released 2019, September",Flashlight,Yes,115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in),,-,"120 x 160 pixels, 4:3 ratio (~113 ppi density)","2019, September",,About 20 EUR
Nokia 2720 Flip,Nokia,Dual-core (2x1.1 GHz Cortex-A7),"Available. Released 2019, September",,Yes,192.7 x 54.5 x 11.6 mm (7.59 x 2.15 x 0.46 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - EU",118 g (4.16 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2019, September",,&#36;&thinsp;199.00 / &#163;&thinsp;89.99
Nokia 800 Tough,Nokia,Dual-core (2x1.1 GHz Cortex-A7),"Available. Released 2019, October","IP68 water resistant (up to 1.5m for 30 mins)
  MIL-STD-810G compliant
  Flashlight",Yes,145.4 x 62.1 x 16.1 mm (5.72 x 2.44 x 0.63 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - EU",161 g (5.68 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2019, September",,&#163;&thinsp;109.99
Nokia 6.2,Nokia,Octa-core 1.8 GHz Kryo 260,"Available. Released 2019, October",,Yes,159.9 x 75.1 x 8.3 mm (6.30 x 2.96 x 0.33 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - ROW",180 g (6.35 oz),"1080 x 2280 pixels, 19:9 ratio (~400 ppi density)","2019, September",,"&#163;&thinsp;225.73 / &#8377;&thinsp;14,499"
Nokia 7.2,Nokia,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"Available. Released 2019, September",,Yes,159.9 x 75.2 x 8.3 mm (6.30 x 2.96 x 0.33 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - ROW",180 g (6.35 oz),"1080 x 2280 pixels, 19:9 ratio (~400 ppi density)","2019, September",,"&#36;&thinsp;329.00 / &#163;&thinsp;248.49 / &#8377;&thinsp;16,500"
Nokia 220 4G,Nokia,,"Available. Released 2019, September",,Yes,121.3 x 52.9 x 13.4 mm (4.78 x 2.08 x 0.53 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",86.5 g (3.03 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2019, July",Up to 6 h 18 min,About 40 EUR
Nokia 105 (2019),Nokia,,"Available. Released 2019, September",Flashlight,Yes,119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in),,73 g (2.57 oz),"120 x 160 pixels, 4:3 ratio (~113 ppi density)","2019, July",Up to 14 h 24 min,&#36;&thinsp;38.95 / &#163;&thinsp;28.61 / &#8377;&thinsp;999
Nokia 3.1 C,Nokia,Quad-core 1.8 GHz Cortex-A53,"Available. Released 2019, June",,Yes,152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in), LTE (unspecified),156 g (5.50 oz),"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","2019, June",,
Nokia 3.1 A,Nokia,Quad-core 1.8 GHz Cortex-A53,"Available. Released 2019, June",,Yes,152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in), LTE (unspecified),156 g (5.50 oz),"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","2019, June",,
Nokia 2.2,Nokia,Quad-core 2.0 GHz Cortex-A53,"Available. Released 2019, June",,Yes,146 x 70.6 x 9.3 mm (5.75 x 2.78 x 0.37 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - APAC, EMEA",153 g (5.40 oz),"720 x 1520 pixels, 19:9 ratio (~295 ppi density)","2019, June",,"&#36;&thinsp;139.00 / &#163;&thinsp;98.43 / &#8377;&thinsp;5,438"
Nokia 8.1 Plus,Nokia,Octa-core,Rumored,,Yes,-, LTE,-,1080 x 2520 pixels (~441 ppi density),Not announced yet,,
Nokia 210,Nokia,,"Available. Released 2019, March",Flashlight,Yes,120.8 x 53.5 x 13.8 mm (4.76 x 2.11 x 0.54 in),,-,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2019, February",,About 30 EUR
Nokia 3.2,Nokia,Quad-core 1.8 GHz Cortex-A53,"Coming soon. Exp. release 2019, May",,Yes,159.4 x 76.2 x 8.6 mm (6.28 x 3.00 x 0.34 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300) - EMEA, APAC, MENA",181 g (6.38 oz),"720 x 1520 pixels, 19:9 ratio (~269 ppi density)","2019, February",,About 130 EUR
Nokia 4.2,Nokia,Octa-core (2x2.0 GHz Cortex-A53 & 6x1.45 GHz Cortex A53),"Coming soon. Exp. release 2019, April",,Yes,149 x 71.3 x 8.4 mm (5.87 x 2.81 x 0.33 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - EMEA, APAC, MENA",161 g (5.68 oz),"720 x 1520 pixels, 19:9 ratio (~295 ppi density)","2019, February",,About 150 EUR
Nokia 1 Plus,Nokia,Quad-core 1.5 GHz Cortex-A53,"Available. Released 2019, March",,Yes,145 x 70.4 x 8.6 mm (5.71 x 2.77 x 0.34 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - Global",-,"480 x 960 pixels, 18:9 ratio (~197 ppi density)","2019, February",,About 90 EUR
Nokia 106 (2018),Nokia,,"Available. Released 2018, November",Flashlight,TBC,111.2 x 49.5 x 14.4 mm (4.38 x 1.95 x 0.57 in),,70.2 g (2.47 oz),"120 x 160 pixels, 4:3 ratio (~111 ppi density)","2018, November",Up to 16 h,About 20 EUR
Nokia 2.1,Nokia,Quad-core 1.4 GHz Cortex-A53,"Available. Released 2018, August",,Yes,153.6 x 77.6 x 9.7 mm (6.05 x 3.06 x 0.38 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - APAC, EMEA",174 g (6.14 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)","2018, May",Up to 19 h (3G),About 100 EUR
Nokia 3.1,Nokia,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Available. Released 2018, May",,Yes,146.3 x 68.7 x 8.7 mm (5.76 x 2.70 x 0.34 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - APAC, EMEA",138.3 g (4.87 oz),"720 x 1440 pixels, 18:9 ratio (~310 ppi density)","2018, May",Up to 18 h (3G),About 150 EUR
Nokia 5.1,Nokia,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),"Available. Released 2018, August",,Yes,151.1 x 70.7 x 8.2 mm (5.95 x 2.78 x 0.32 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - APAC, EMEA, HK",-,"1080 x 2160 pixels, 18:9 ratio (~439 ppi density)","2018, May",Up to 19 h (3G),About 180 EUR
Nokia X6,Nokia,"Octa-core 1.8 GHz Kryo 260
Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)",Rumored,,Yes,-, LTE,-,"1080 x 2280 pixels, 19:9 ratio (~435 ppi density)",Not announced yet,,
Nokia 8110 4G,Nokia,Dual-core (2x1.1 GHz Cortex-A7),"Available. Released 2018, July","- IP52 drip protection
  - Flashlight",Yes,133.5 x 49.3 x 14.9 mm (5.26 x 1.94 x 0.59 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - Europe",117 g (4.13 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2018, February",Up to 11 h,About 90 EUR
Nokia 8 Sirocco,Nokia,Octa-core (4x2.5 GHz Kryo & 4x1.8 GHz Kryo),"Available. Released 2018, April",- IP67 certified - dust/water resistant (up to 1.5m for 30 mins),No,140.9 x 73 x 7.5 mm (5.55 x 2.87 x 0.30 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)",-,"1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","2018, February",Up to 22 h (3G),About 750 EUR
Nokia 7 plus,Nokia,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"Available. Released 2018, March",- IP54 certified - splash proof,Yes,158.4 x 75.6 x 8 mm (6.24 x 2.98 x 0.31 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - Global",183 g (6.46 oz),"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","2018, February",Up to 19 h (3G),About 400 EUR
Nokia 1,Nokia,Quad-core 1.1 GHz Cortex-A53,"Available. Released 2018, April",,Yes,133.6 x 67.8 x 9.5 mm (5.26 x 2.67 x 0.37 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - EMEA/APAC",-,"480 x 854 pixels, 16:9 ratio (~218 ppi density)","2018, February",Up to 9 h (3G),About 100 EUR
Nokia 3310 4G,Nokia,,"Available. Released 2018, February",- Flashlight,Yes,117 x 52.4 x 13.4 mm (4.61 x 2.06 x 0.53 in), LTE,88.1 g (3.10 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2018, January",Up to 8 h (3G),About 90 EUR
Nokia 6.1,Nokia,Octa-core 2.2 GHz Cortex-A53,"Available. Released 2018, April",,Yes,148.8 x 75.8 x 8.2 mm (5.86 x 2.98 x 0.32 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - EMEA & APAC",172 g (6.07 oz),"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)","2018, January",Up to 16 h (3G),About 280 EUR
Nokia 7,Nokia,Octa-core 2.2 GHz Cortex-A53,"Available. Released 2017, October",- IP54 splash proof,Yes,141.2 x 71.5 x 7.9 mm (5.56 x 2.81 x 0.31 in),"LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)",-,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","2017, October",Up to 15 h (3G),About 360 EUR
Nokia 3310 3G,Nokia,,"Available. Released 2017, October",- Flashlight,Yes,117 x 52.4 x 13.4 mm (4.61 x 2.06 x 0.53 in),,88.2 (DS)/ 84.9 (SS) (3.10 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2017, September",Up to 6 h 30 min,About 70 EUR
Nokia 9,Nokia,Octa-core (4x2.5 GHz Kryo & 4x1.8 GHz Kryo),Rumored,- IP68 certified - dust/water proof over 1.5 meter and 30 minutes,Yes,-, LTE,-,"1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Not announced yet,,About 750 EUR
Nokia 105 (2017),Nokia,,"Available. Released 2017, August",- Flashlight,Yes,112 x 49.5 x 14.4 mm (4.41 x 1.95 x 0.57 in),,73 g (2.57 oz),"120 x 160 pixels, 4:3 ratio (~111 ppi density)","2017, July",,About 20 EUR
Nokia 130 (2017),Nokia,,"Available. Released 2017, August",- Flashlight,Yes,111.5 x 48.4 x 14.2 mm (4.39 x 1.91 x 0.56 in),,-,"120 x 160 pixels, 4:3 ratio (~111 ppi density)","2017, July",,About 20 EUR
Nokia 3310 (2017),Nokia,,"Available. Released 2017, May",- Flashlight,Yes,115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in),,-,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2017, February",Up to 22 h,About 50 EUR
Nokia 3,Nokia,Quad-core 1.4 GHz Cortex-A53,"Available. Released 2017, June",,Yes,143.4 x 71.4 x 8.5 mm (5.65 x 2.81 x 0.33 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)",140 g (4.94 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","2017, February",,About 160 EUR
Nokia 5,Nokia,Octa-core 1.4 GHz Cortex-A53,"Available. Released 2017, July",,Yes,149.7 x 72.5 x 8 mm (5.89 x 2.85 x 0.31 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)",160 g (5.64 oz),"720 x 1280 pixels, 16:9 ratio (~282 ppi density)","2017, February",,About 200 EUR
Nokia 8,Nokia,Octa-core (4x2.5 GHz Kryo & 4x1.8 GHz Kryo),"Available. Released 2017, October",- IP54 certified - splash proof,Yes,151.5 x 73.7 x 7.9 mm (5.96 x 2.90 x 0.31 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)",160 g (5.64 oz),"1440 x 2560 pixels, 16:9 ratio (~554 ppi density)","2017, September",,About 600 EUR
Nokia 2,Nokia,Quad-core 1.3 GHz Cortex-A7,"Available. Released 2017, November",,Yes,143.5 x 71.3 x 9.3 mm (5.65 x 2.81 x 0.37 in),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)",-,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","2017, October",Up to 19 h (3G),About 120 EUR
Nokia 150,Nokia,,"Available. Released 2017, January",- Flashlight,Yes,118 x 50.2 x 13.5 mm (4.65 x 1.98 x 0.53 in),,81 g (2.86 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2016, December",Up to 22 h,About 30 EUR
Nokia 216,Nokia,,"Available. Released 2016, October",- Flashlight,Yes,"118 x 50.2 x 13.5 mm, 71.7 cc (4.65 x 1.98 x 0.53 in)",,82.6 (2.93 oz),240 x 320 pixels (~167 ppi pixel density),"2016, September",Up to 18 h,About 40 EUR
Nokia 230 Dual SIM,Nokia,,"Available. Released 2015, December",,Yes,124.6 x 53.4 x 10.9 mm (4.91 x 2.10 x 0.43 in),,91.8 g (3.25 oz),240 x 320 pixels (~143 ppi pixel density),"2015, November",Up to 23 h,
Nokia 230,Nokia,,"Available. Released 2015, December",,Yes,124.6 x 53.4 x 10.9 mm (4.91 x 2.10 x 0.43 in),,91.8 g (3.25 oz),240 x 320 pixels (~143 ppi pixel density),"2015, November",Up to 23 h,
Nokia 222 Dual SIM,Nokia,,"Available. Released 2015, September",,Yes,116 x 50 x 12.9 mm (4.57 x 1.97 x 0.51 in),,79 g (2.79 oz),240 x 320 pixels (~167 ppi pixel density),"2015, August",Up to 20 h,
Nokia 222,Nokia,,"Available. Released 2015, September",,Yes,116 x 50 x 12.9 mm (4.57 x 1.97 x 0.51 in),,79 g (2.79 oz),240 x 320 pixels (~167 ppi pixel density),"2015, August",Up to 20 h,
Nokia 105 Dual SIM (2015),Nokia,,"Available. Released 2015, June",- Flashlight,Yes,108.5 x 45.5 x 14.1 mm (4.27 x 1.79 x 0.56 in),,69.6 g (2.47 oz),128 x 128 pixels (~129 ppi pixel density),"2015, June",Up to 15 h,
Nokia 105 (2015),Nokia,,"Available. Released 2015, June",- Flashlight,Yes,108.5 x 45.5 x 14.1 mm (4.27 x 1.79 x 0.56 in),,69.8 g (2.47 oz),128 x 128 pixels (~129 ppi pixel density),"2015, June",Up to 15 h,
Nokia 215 Dual SIM,Nokia,,"Available. Released 2015, February",- Flashlight,Yes,116 x 50 x 12.9 mm (4.57 x 1.97 x 0.51 in),,78.6 g (2.75 oz),240 x 320 pixels (~167 ppi pixel density),"2015, January",Up to 20 h,
Nokia 215,Nokia,,"Available. Released 2015, May",- Flashlight,Yes,116 x 50 x 12.9 mm (4.57 x 1.97 x 0.51 in),,78.4 g (2.75 oz),240 x 320 pixels (~166 ppi pixel density),"2015, January",Up to 20 h,
Nokia C1,Nokia,,"Rumored. Exp. release 2015, Q3",,Yes,-,,-,720 x 1280 pixels (~294 ppi pixel density),"Exp. announcement 2015, Q3",,
Nokia Lumia 638,Nokia,Quad-core 1.2 GHz Cortex-A7,"Available. Released 2014, December",,Yes,129.5 x 66.7 x 9.2 mm (5.10 x 2.63 x 0.36 in),"LTE band 3(1800), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)",136 g (4.80 oz),480 x 854 pixels (~218 ppi pixel density),"2014, December",,
Nokia N1,Nokia,Quad-core 2.3 GHz,"Available. Released 2015, January",,Yes,200.7 x 138.6 x 6.9 mm (7.90 x 5.46 x 0.27 in),,318 g (11.22 oz),1536 x 2048 pixels (~324 ppi pixel density),"2014, November",,
Nokia Lumia 730 Dual SIM,Nokia,Quad-core 1.2 GHz Cortex-A7,"Available. Released 2014, September",,Yes,"134.7 x 68.5 x 8.7 mm, 80.3 cc (5.30 x 2.70 x 0.34 in)",,130 g (4.59 oz),720 x 1280 pixels (~316 ppi pixel density),"2014, September",Up to 22 h (2G) / Up to 17 h (3G),
Nokia Lumia 735,Nokia,Quad-core 1.2 GHz Cortex-A7,"Available. Released 2014, September",,Yes,134.7 x 68.5 x 8.9 mm (5.30 x 2.70 x 0.35 in),"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700) - RM-1039",134 g (4.73 oz),720 x 1280 pixels (~312 ppi pixel density),"2014, September",Up to 22 h (2G) / Up to 17 h (3G),
Nokia Lumia 830,Nokia,Quad-core 1.2 GHz Cortex-A7,"Available. Released 2014, September",,Yes,139.4 x 70.7 x 8.5 mm (5.49 x 2.78 x 0.33 in),"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",150 g (5.29 oz),720 x 1280 pixels (~294 ppi pixel density),"2014, September",Up to 12 h 54 min (2G) / Up to 14 h 48 min (3G),
Nokia 130 Dual SIM,Nokia,,"Available. Released 2014, September",- Flashlight,Yes,106 x 45.5 x 13.9 mm (4.17 x 1.79 x 0.55 in),,67.9 g (2.40 oz),128 x 160 pixels (~114 ppi pixel density),"2014, August",Up to 13 h,
Nokia 130,Nokia,,"Available. Released 2014, September",- Flashlight,Yes,106 x 45.5 x 13.9 mm (4.17 x 1.79 x 0.55 in),,68.6 g (2.40 oz),128 x 160 pixels (~114 ppi pixel density),"2014, August",Up to 13 h,
Nokia Lumia 530 Dual SIM,Nokia,Quad-core 1.2 GHz Cortex-A7,"Available. Released 2014, August",,Yes,"119.7 x 62.3 x 11.7 mm, 86.8 cc (4.71 x 2.45 x 0.46 in)",,129 g (4.55 oz),480 x 854 pixels (~245 ppi pixel density),"2014, July",Up to 13 h 20 min (2G) / Up to 10 h (3G),
